model,eval_country,gps_dimension,n,mean_reward_delta,preference_accuracy,mean_dpo_pref_prob
Mexico_adapter,Mexico,altruism,12,4.025,1.0,0.9545558569266905
Mexico_adapter,Mexico,negrecip,12,3.7916666666666665,1.0,0.9461960371819145
Mexico_adapter,Mexico,patience,8,1.9625000000000001,0.875,0.8073637688971019
Mexico_adapter,Mexico,posrecip,17,2.9147058823529415,1.0,0.8967626882445652
Mexico_adapter,Mexico,risktaking,10,2.55,1.0,0.8950356019846145
Mexico_adapter,Mexico,trust,11,2.9681818181818183,1.0,0.923909327363403
Mexico_adapter,US,altruism,26,-1.6288461538461538,0.07692307692307693,0.20774177043085537
Mexico_adapter,US,patience,12,-1.3500000000000003,0.16666666666666666,0.2684850371996827
Mexico_adapter,US,posrecip,1,-2.9000000000000004,0.0,0.05215356307841772
Mexico_adapter,US,risktaking,19,-0.3236842105263158,0.47368421052631576,0.45439536781060336
Mexico_adapter,US,trust,12,-0.3666666666666667,0.16666666666666666,0.3990116039319251
US_adapter,Mexico,altruism,12,-2.0708333333333333,0.08333333333333333,0.1590366192248309
US_adapter,Mexico,negrecip,12,1.0208333333333335,0.75,0.6755083143635249
US_adapter,Mexico,patience,8,-1.225,0.125,0.2568072668529427
US_adapter,Mexico,posrecip,17,-1.4823529411764707,0.11764705882352941,0.23847910459829413
US_adapter,Mexico,risktaking,10,-0.825,0.5,0.3736633769553135
US_adapter,Mexico,trust,11,-2.727272727272727,0.09090909090909091,0.11448650958765673
US_adapter,US,altruism,26,3.7173076923076924,1.0,0.9352544295713074
US_adapter,US,patience,12,2.4250000000000003,0.9166666666666666,0.8432071824377875
US_adapter,US,posrecip,1,2.0500000000000003,1.0,0.8859476187202091
US_adapter,US,risktaking,19,2.865789473684211,1.0,0.8982599494083987
US_adapter,US,trust,12,3.7083333333333335,0.9166666666666666,0.9294594918878368
